degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND ENTREPRENEURSHIP,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF ARTS (PSYCHOLOGY),ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF DEVELOPMENT STUDIES,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT),ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF ARTS COMMUNITY DEVELOPMENT,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF ARTS IN DEVELOPMENT STUDIES,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF ARTS IN SUSTAINABLE HUMAN DEVELOPMENT,ENG,MAT A,HAG,BIO,,,TANGAZA UNIVERSITY COLLEGE,BACHELOR OF ARTS IN SUSTAINABLE HUMAN DEVELOPMENT
BACHELOR OF ARTS IN CHILDCARE AND PROTECTION,ENG,MAT A,HAG,BIO,,,PWANI UNIVERSITY,BACHELOR OF ARTS IN CHILDCARE AND PROTECTION
BACHELOR OF ARTS IN CHILD AND YOUTH STUDIES,ENG,MAT A,HAG,BIO,,,PWANI UNIVERSITY,BACHELOR OF ARTS IN CHILDCARE AND PROTECTION
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF ARTS IN COUNSELLING PSYCHOLOGY,ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF ARTS IN PHILOSOPHY,ENG,MAT A,HAG,BIO,,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN PHILOSOPHY
BACHELOR OF MANAGEMENT AND LEADERSHIP,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
BACHELOR OF ARTS IN PHILOSOPHY AND LEADERSHIP STUDIES,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
"BACHELOR OF ARTS (FINE ART, WITH IT)",ENG,MAT A,HAG,BIO,ARD: C+,,MASENO UNIVERSITY,"BACHELOR OF ARTS (FINE ART, WITH IT)"
BACHELOR OF ARTS IN TRANSLATION STUDIES,ENG,MAT A,HAG,BIO,ENG: C+,,ST PAULS UNIVERSITY,BACHELOR OF ARTS IN TRANSLATION STUDIES
"BACHELOR OF SCIENCE (GRAPHIC, COMMUNICATION AND ADVERTISING)",ENG,MAT A,HAG,BIO,ARD: C+,,KCA UNIVERSITY,BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY
BACHELOR OF ARTS IN LEADERSHIP AND MANAGEMENT,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
BACHELOR OF LEADERSHIP AND MANAGEMENT,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
BACHELOR OF ARTS (PEACE AND CONFLICT STUDIES),ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE
BACHELOR OF ARTS (PHILOSOPHY),ENG,MAT A,HAG,BIO,,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN PHILOSOPHY
BACHELOR OF SCIENCE (BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY
BACHELOR OF SCIENCE IN BIOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY
BACHELOR OF SCIENCE IN BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY
BACHELOR OF SCIENCE (BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY
BACHELOR OF SCIENCE (BSC.),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE
"BACHELOR OF SCIENCE (BASIC SCIENCE, WITH IT)",MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE
BSC (SCIENCE),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE
BACHELOR OF SCIENCE (B.SC),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE
"BACHELOR OF SCIENCE(PHYSICS, BIOLOGY,CHEMISTRY,MATHEMATICS)",MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE
BACHELOR OF ARTS IN PEACE AND CONFLICT STUDIES,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE
"BACHELOR OF ARTS (SOCIOLOGY AND ANTHROPOLOGY, WITH IT)",ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY
BACHELOR OF JUSTICE AND PEACE,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE
BACHELOR OF ARTS IN ARABIC LANGUAGE,ENG,MAT A,HAG,BIO,ENG: C+,,RAF INTERNATIONAL UNIVERSITY,BACHELOR OF ARTS IN ARABIC LANGUAGE
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY)
BACHELOR OF ARTS IN PEACE STUDIES AND CONFLICT RESOLUTION,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE
BACHELOR OF FILM AND ANIMATION,ENG,MAT A,HAG,BIO,ARD: C+,,MOUNT KENYA UNIVERSITY,BACHELOR OF FILM AND ANIMATION STUDIES
BACHELOR OF FILM AND ANIMATION STUDIES,ENG,MAT A,HAG,BIO,ARD: C+,,MOUNT KENYA UNIVERSITY,BACHELOR OF FILM AND ANIMATION STUDIES
BACHELOR OF COUNSELING PSYCHOLOGY,ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF SOCIAL WORK AND ADMINISTRATION,ENG,MAT A,HAG,BIO,,,TURKANA UNIVERSITY COLLEGE,BACHELOR OF SOCIAL WORK
BACHELOR OF ARTS (SOCIOLOGY),ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY
BACHELOR OF SCIENCE IN PHYSICS,MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS
"BACHELOR OF SCIENCE (PHYSICS, WITH IT)",MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS
BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY,ENG,MAT A,HAG,BIO,ARD: C+,,KCA UNIVERSITY,BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY
BACHELOR OF ARTS IN SOCIOLOGY,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY)
BACHELOR OF SCIENCE IN MICROBIOLOGY AND BIOTECHNOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY)
BACHELOR OF TECHNOLOGY IN INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF TECHNOLOGY IN INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY
BACHELOR OF SCIENCE (MICROBIOLOGY AND BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY)
BACHELOR OF SCIENCE (MOLECULAR & CELLULAR BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (CELLULAR AND MOLECULAR BIOLOGY)
BACHELOR OF TECHNOLOGY (TECHNICAL AND APPLIED PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,MACHAKOS UNIVERSITY,BACHELOR OF TECHNOLOGY (TECHNICAL AND APPLIED PHYSICS)
BACHELOR OF SCIENCE IN MOLECULAR BIOLOGY AND FORENSIC TECHNOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN MOLECULAR BIOLOGY AND FORENSIC TECHNOLOGY
BACHELOR OF SCIENCE (CELLULAR AND MOLECULAR BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (CELLULAR AND MOLECULAR BIOLOGY)
BACHELOR OF SCIENCE IN BIOTECHNOLOGY AND BIOSAFETY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY)
BACHELOR OF SCIENCE IN MICROBIOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY)
BACHELOR OF SCIENCE (BIOCHEMISTRY AND MOLECULAR BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY
BACHELOR OF SCIENCE (BOTANY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (BOTANY, WITH IT)"
BACHELOR OF TECHNOLOGY (APPLIED BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF TECHNOLOGY (APPLIED BIOLOGY)
"BACHELOR OF SCIENCE (BOTANY, WITH IT)",MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (BOTANY, WITH IT)"
BACHELOR OF SCIENCE IN ZOOLOGY (GENOMIC SCIENCE),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (ZOOLOGY)
BACHELOR OF SCIENCE (ZOOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (ZOOLOGY)
BACHELOR OF SCIENCE IN  CHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN CHEMISTRY
BACHELOR OF SCIENCE IN  POLYMER CHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN CHEMISTRY
BACHELOR OF SCIENCE (FORENSIC SCIENCE),MAT A,BIO,BIO,BIO,MAT A: C,CHE: C+,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE (FORENSIC SCIENCE)
BACHELOR OF SCIENCE IN CHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN CHEMISTRY
BACHELOR OF SCIENCE (APPLIED BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY
BACHELOR OF SCIENCE (CHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN CHEMISTRY
"BACHELOR OF SCIENCE CHEMISTRY ( INORGANIC, PHYSICAL AND ORGANIC OPTIONS)",MAT A,BIO,BIO,BIO,MAT A: C,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN CHEMISTRY
BACHELOR OF SCIENCE ( ENVIRONMENTAL CHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,CHE: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE ( ENVIRONMENTAL CHEMISTRY)
BACHELOR OF SCIENCE (CONSERVATION BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KIBABII UNIVERSITY,BACHELOR OF SCIENCE ( BIO-RESOURCES MANAGEMENT AND CONSERVATION)
BACHELOR OF SCIENCE (FORENSIC BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (FORENSIC BIOLOGY)
BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH)
BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH)
BACHELOR OF SCIENCE IN HEALTH EDUCATION AND PROMOTION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE IN HEALTH EDUCATION AND PROMOTION
BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY),BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF ARTS (GERMAN),GER,ENG,MAT A,BIO,GER: C+,,PWANI UNIVERSITY,BACHELOR OF ARTS (GERMAN)
BACHELOR OF SCIENCE IN COMMUNITY HEALTH AND DEVELOPMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AMREF INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN COMMUNITY HEALTH
BACHELOR OF SCIENCE (COMMUNITY HEALTH AND DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AMREF INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN COMMUNITY HEALTH
BACHELOR OF SCIENCE IN COMMUNITY HEALTH,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AMREF INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN COMMUNITY HEALTH
BACHELOR OF SCIENCE (COMMUNITY HEALTH & DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AMREF INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN COMMUNITY HEALTH
BACHELOR OF ARTS (FRENCH),FRE,ENG,MAT A,BIO,FRE: C+,,KAIMOSI FRIENDS UNIVERSITY COLLEGE,BACHELOR OF EDUCATION (FRENCH)
"BACHELOR OF ARTS (MUSIC, WITH IT)",MUC,ENG,MAT A,BIO,MUC: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF ARTS (MUSIC)
BACHELOR OF ARTS (MUSIC),MUC,ENG,MAT A,BIO,MUC: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF ARTS (MUSIC)
"BACHELOR OF EDUCATION (FRENCH, WITH IT)",FRE,ENG,MAT A,BIO,FRE: C+,,KAIMOSI FRIENDS UNIVERSITY COLLEGE,BACHELOR OF EDUCATION (FRENCH)
BACHELOR OF EDUCATION (FRENCH),FRE,ENG,MAT A,BIO,FRE: C+,,KAIMOSI FRIENDS UNIVERSITY COLLEGE,BACHELOR OF EDUCATION (FRENCH)
BACHELOR OF MUSIC (TECHNOLOGY),MUC,ENG,MAT A,BIO,MUC: C+,,KENYATTA UNIVERSITY,BACHELOR OF MUSIC (TECHNOLOGY)
BACHELOR OF COMMERCE (B.COM),ENG,MAT A,BIO,BIO,MAT A: C,,GRETSA UNIVERSITY,BACHELOR OF COMMERCE
BACHELOR OF SCIENCE (RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY),ENG,MAT A,BIO,BIO,MAT A: C,,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,BACHELOR OF SCIENCE (RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY)
BACHELOR OF COMMERCE,ENG,MAT A,BIO,BIO,MAT A: C,,GRETSA UNIVERSITY,BACHELOR OF COMMERCE
BACHELOR OF SCIENCE (INFORMATION SCIENCE),ENG,MAT A,BIO,BIO,MAT A: C,,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION SCIENCE
BACHELOR OF SCIENCE (INFORMATION SCIENCES AND KNOWLEDGE MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION SCIENCE
BACHELOR OF SCIENCE IN INFORMATION SCIENCES,ENG,MAT A,BIO,BIO,MAT A: C,,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION SCIENCE
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,ENG,MAT A,BIO,BIO,MAT A: C,,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION SCIENCE
BACHELOR OF SECRETARIAL MANAGEMENT AND ADMINISTRATION,ENG,MAT A,BIO,BIO,MAT A: C,,KISII UNIVERSITY,BACHELOR OF SECRETARIAL MANAGEMENT AND ADMINISTRATION
BACHELOR OF BUSINESS AND MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF BUSINESS MANAGEMENT
BACHELOR OF BUSINESS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF BUSINESS MANAGEMENT
BACHELOR OF BUSINESS ADMINISTRATION IN MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF BUSINESS MANAGEMENT
BACHELOR IN BUSINESS ADMINISTRATION,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR IN BUSINESS ADMINISTRATION
BACHELOR OF BUSINESS ADMINISTRATION,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR IN BUSINESS ADMINISTRATION
BACHELOR OF BUSINESS ADMINISTRATION ( WITH IT),ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR IN BUSINESS ADMINISTRATION
"BACHELOR OF SCIENCE IN MARKETING, WITH IT",ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF BUSINESS MANAGEMENT
BACHELOR OF BUSINESS ADMINISTRATION WITH IT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR IN BUSINESS ADMINISTRATION
BACHELOR OF TOURISM MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT
BACHELOR OF SCIENCE IN TOURISM MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT
BACHELOR IN BUSINESS ADMINISTRATION IN MARKETING,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR IN BUSINESS ADMINISTRATION
