degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme
BACHELOR OF SCIENCE IN ANIMAL PRODUCTION AND PROCESSING,BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF SCIENCE IN ANIMAL HEALTH AND PRODUCTION,BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF SCIENCE (ANIMAL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
"BACHELOR OF SCIENCE (ANIMAL SCIENCE, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF SCIENCE (ANIMAL PRODUCTION & HEALTH MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF SCIENCE IN ANIMAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF SCIENCE IN ANIMAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF SCIENCE (DAIRY TECHNOLOGY & MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (DAIRY TECHNOLOGY & MANAGEMENT)
BACHELOR OF SCIENCE (FORESTRY),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (INTEGRATED FOREST RESOURCES MANAGEMENT)
BACHELOR OF SCIENCE (ANIMAL HEALTH AND PRODUCTION),BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF SCIENCE (ANIMAL HEALTH & PRODUCTION),BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE)
BACHELOR OF ENVIRONMENTAL PLANNING & MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (APPLIED AQUATIC SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE IN AGRICULTURE AND EXTENSION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE
BACHELOR OF SCIENCE (LAND RESOURCE PLANNING & MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (LAND RESOURCE PLANNING & MANAGEMENT)
BACHELOR OF SCIENCE (ENVIRONMENTAL HORTICULTURE & LANDSCAPING TECHNOLOGY),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (ENVIRONMENTAL HORTICULTURE & LANDSCAPING TECHNOLOGY)
BACHELOR OF ARTS IN ENVIRONMENTAL PLANNING AND MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
"BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,EGERTON UNIVERSITY,BACHELOR OF SCIENCE IN DRYLAND RESOURCE MANAGEMENT
BACHELOR OF SCIENCE (DRYLAND AGRICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,EGERTON UNIVERSITY,BACHELOR OF SCIENCE IN DRYLAND RESOURCE MANAGEMENT
BACHELOR OF SCIENCE IN DRYLAND RESOURCE MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,EGERTON UNIVERSITY,BACHELOR OF SCIENCE IN DRYLAND RESOURCE MANAGEMENT
BACHELOR OF SCIENCE IN NATURAL RESOURCE MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (NATURAL RESOURCES MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (NATURAL RESOURCE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE IN NATURAL RESOURCES,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS),BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS
BACHELOR OF SCIENCE IN AGRICULTURE AND RURAL DEVELOPMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,EGERTON UNIVERSITY,BACHELOR OF SCIENCE IN DRYLAND RESOURCE MANAGEMENT
BACHELOR OF SCIENCE IN HUMAN NUTRITION AND DIETETICS,BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS
BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE IN AGRICULTURAL EXTENSION EDUCATION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE IN AGRICULTURE EDUCATION & EXTENSION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF AGRICULTURAL EDUCATION AND EXTENSION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION AND RURAL DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION & EXTENSION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (AGRICULTURE EDUCATION & EXTENSION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (AGRICULTURE EDUCATION AND EXTENSION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (INTEGRATED FOREST RESOURCES MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (INTEGRATED FOREST RESOURCES MANAGEMENT)
BACHELOR OF SCIENCE (CROP IMPROVEMENT & PROTECTION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (CROP IMPROVEMENT & PROTECTION)
"BACHELOR OF SCIENCE (AGRICULTURE EDUCATION AND EXTENSION, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION AND EDUCATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE IN AGRICULTURAL EDUCATION & EXTENSION,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION
BACHELOR OF SCIENCE (LEATHER TECHNOLOGY),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN LEATHER TECHNOLOGY
BACHELOR OF SCIENCE IN LEATHER TECHNOLOGY,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN LEATHER TECHNOLOGY
BACHELOR OF SCIENCE (SOIL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (SOIL SCIENCE)
BACHELOR OF SCIENCE(FOOD SECURITY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE(FOOD SECURITY)
BACHELOR OF SCIENCE (SOIL SCIENCE AND PLANT NUTRITION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (SOIL SCIENCE)
BACHELOR OF TECHNOLOGY (ENVIRONMENTAL RESOURCE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (NUTRACEUTICAL SCIENCE AND TECHNOLOGY),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (NUTRACEUTICAL SCIENCE AND TECHNOLOGY)
BACHELOR OF SCIENCE (FISHERIES AND AQUACULTURE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE IN ENERGY AND ENVIRONMENTAL TECHNOLOGY,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN ENERGY AND ENVIRONMENTAL TECHNOLOGY
"BACHELOR OF TECHNOLOGY IN WATER, SANITATION AND HABITAT ENGINEERING",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
"BACHELOR OF SCIENCE (FISHERIES AND NATURAL RESOURCES, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE (WATER RESOURCES AND ENVIRONMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (WATER RESOURCE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (WATER AND ENVIRONMENT MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE IN AQUACULTURE AND FISHERIES TECHNOLOGY,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE IN AQUACULTURE TECHNOLOGY,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE (FISHERIES & AQUATIC SCIENCES),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE (FISHERIES AND AQUACULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE ( BIO-RESOURCES MANAGEMENT AND CONSERVATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KIBABII UNIVERSITY,BACHELOR OF SCIENCE ( BIO-RESOURCES MANAGEMENT AND CONSERVATION)
BACHELOR OF SCIENCE IN MARITIME MANAGEMENT (COMMERCIAL),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,PWANI UNIVERSITY,BACHELOR OF MARITIME STUDIES
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE (COASTAL & MARINE RESOURCE MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (COASTAL & MARINE RESOURCE MANAGEMENT
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE TECHNOLOGY,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF MARITIME STUDIES,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,PWANI UNIVERSITY,BACHELOR OF MARITIME STUDIES
BACHELOR OF SCIENCE IN FISHERIES AND OCEANOGGRAPHY,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE
BACHELOR OF SCIENCE IN MARINE RESOURCE MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (COASTAL & MARINE RESOURCE MANAGEMENT
BACHELOR OF SCIENCE (MARINE BIOLOGY & FISHERIES),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (COASTAL & MARINE RESOURCE MANAGEMENT
BACHELOR OF SCIENCE (CLIMATE CHANGE ADAPTATION AND SUSTAINABLE DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (CLIMATE CHANGE ADAPTATION AND SUSTAINABLE DEVELOPMENT)
BACHELOR OF SCIENCE (UTILIZATION & SUSTAINABILITY OF ARID LANDS (USAL),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,LAIKIPIA UNIVERSITY,BACHELOR OF SCIENCE (UTILIZATION & SUSTAINABILITY OF ARID LANDS (USAL)
BACHELOR OF SCIENCE (ENVIRONMENTAL EDUCATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KENYATTA UNIVERSITY,BACHELOR OF ENVIRONMENTAL SCIENCE (RESOURCE CONSERVATION)
"BACHELOR OF SCIENCE (AGRONOMY, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (AGRONOMY, WITH IT)"
BACHELOR OF SCIENCE (AGRICULTURE AND BIOTECHNOLOGY),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE & BIOTECHNOLOGY)
BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE & BIOTECHNOLOGY)
BACHELOR OF SCIENCE (AGRICULTURE & BIOTECHNOLOGY),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE & BIOTECHNOLOGY)
BACHELOR OF SCIENCE (FOOD SCIENCE AND MANAGEMENT),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY)
BACHELOR OF SCIENCE IN FOOD SCIENCE AND PROCESSING,BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY)
BACHELOR OF ARTS IN GEOGRAPHY AND NATURAL RESOURCE MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF ARTS IN GEOGRAPHY AND NATURAL RESOURCE MANAGEMENT
BACHELOR OF ENVIRONMENTAL SCIENCE (RESOURCE CONSERVATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KENYATTA UNIVERSITY,BACHELOR OF ENVIRONMENTAL SCIENCE (RESOURCE CONSERVATION)
BACHELOR OF ENVIRONMENTAL STUDIES (ENVIRONMENTAL RESOURCE CONSERVATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,KENYATTA UNIVERSITY,BACHELOR OF ENVIRONMENTAL SCIENCE (RESOURCE CONSERVATION)
"BACHELOR OF SCIENCE (GEOGRAPHY AND NATURAL RESOURCE MANAGEMENT, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF ARTS IN GEOGRAPHY AND NATURAL RESOURCE MANAGEMENT
BACHELOR OF SCIENCE IN ANIMAL PRODUCTS TECHNOLOGY,BIO,CHE,MAT A,ENG,BIO: C+,MAT A: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL PRODUCTS TECHNOLOGY
BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE ( ENVIRONMENTAL SCIENCE AND  RESOURCE MANAGEMENT ),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE (ENVIRONMENTAL MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
